Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,extracellular matrix disassembly (GO:0022617),1/66,0.082401554194611,0.1838838473682192,0,0,12.251692307692307,30.58207376858464,LAMC1
GO_Biological_Process_2021,cellular component disassembly (GO:0022411),1/66,0.082401554194611,0.1838838473682192,0,0,12.251692307692307,30.58207376858464,LAMC1
GO_Biological_Process_2021,vascular endothelial growth factor receptor signaling pathway (GO:0048010),1/67,0.0835983795138284,0.1838838473682192,0,0,12.065454545454546,29.94321429852069,FLT1
GO_Biological_Process_2021,peptidyl-tyrosine phosphorylation (GO:0018108),1/69,0.0859875288365276,0.1838838473682192,0,0,11.709411764705882,28.729662442835576,FLT1
GO_Biological_Process_2021,cell chemotaxis (GO:0060326),1/69,0.0859875288365276,0.1838838473682192,0,0,11.709411764705882,28.729662442835576,CCL25
GO_Biological_Process_2021,positive regulation of MAP kinase activity (GO:0043406),1/69,0.0859875288365276,0.1838838473682192,0,0,11.709411764705882,28.729662442835576,FLT1
GO_Biological_Process_2021,neutrophil chemotaxis (GO:0030593),1/70,0.0871798564516168,0.1838838473682192,0,0,11.539130434782608,28.152962485204668,CCL25
GO_Biological_Process_2021,fatty acid biosynthetic process (GO:0006633),1/71,0.0883706884427819,0.1838838473682192,0,0,11.373714285714286,27.59507555769093,LIPH
GO_Biological_Process_2021,cellular response to BMP stimulus (GO:0071773),1/71,0.0883706884427819,0.1838838473682192,0,0,11.373714285714286,27.59507555769093,SMAD1
GO_Biological_Process_2021,extrinsic apoptotic signaling pathway (GO:0097191),1/72,0.0895600265977508,0.1838838473682192,0,0,11.212957746478873,27.05514238024048,IFI27
GO_Biological_Process_2021,cell junction organization (GO:0034330),1/72,0.0895600265977508,0.1838838473682192,0,0,11.212957746478873,27.05514238024048,LIMS2
GO_Biological_Process_2021,cell morphogenesis involved in differentiation (GO:0000904),1/72,0.0895600265977508,0.1838838473682192,0,0,11.212957746478873,27.05514238024048,LAMC1
GO_Biological_Process_2021,regulation of Rho protein signal transduction (GO:0035023),1/73,0.0907478727271731,0.1838838473682192,0,0,11.056666666666668,26.53235403248719,GPR55
GO_Biological_Process_2021,granulocyte chemotaxis (GO:0071621),1/73,0.0907478727271731,0.1838838473682192,0,0,11.056666666666668,26.53235403248719,CCL25
GO_Biological_Process_2021,regulation of BMP signaling pathway (GO:0030510),1/76,0.0943024769061604,0.1885204285027162,0,0,10.6128,25.05945090071607,SMAD1
GO_Biological_Process_2021,positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),1/77,0.0954843728779991,0.1885204285027162,0,0,10.472631578947368,24.598040389517,FLT1
GO_Biological_Process_2021,neutrophil migration (GO:1990266),1/77,0.0954843728779991,0.1885204285027162,0,0,10.472631578947368,24.598040389517,CCL25
