"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"INFLAMMATORY RESPONSE",0.0373362445414847,0.146233624454148,0.10954123067857,-0.306338695444687,-1.33908585681347,103,"CCR7;CXCR6;RHOG;PDE4B;GPR183;IL10;IRF7;RGS1;NAMPT;SELL;BST2;TNFRSF1B;LCK;SLC31A1;CD82;SLC1A2;TNFSF10;RTP4;LDLR;RGS16;PTGER4;IL10RA;NFKB1;AHR;GCH1;BEST1;LTA;SPHK1;BTG2;HIF1A;PSEN1;P2RX4","CD4_cytoT","Not significant"
"INTERFERON ALPHA RESPONSE",1.31745581589022e-07,2.06401411156134e-06,0.690132458796796,-0.509428872825436,-2.17604598324904,90,"GBP4;UBE2L6;CD74;LGALS3BP;TAP1;ISG20;MX1;IRF7;PLSCR1;HELZ2;MOV10;SELL;GBP2;IRF9;BST2;LAP3;TRAFD1;STAT2;EPSTI1;PSMB8;PSME1;PSME2;ADAR;TRIM25;DDX60;ISG15;MVB12A;PARP9;RTP4;OGFR;SAMD9L;TMEM140;USP18;PSMB9;PARP12;OAS1;SAMD9;IFI27;UBA7","CD4_cytoT","Down with age"
"INTERFERON GAMMA RESPONSE",3.02994681488313e-09,1.42407500299507e-07,0.774939030136436,-0.45480921742739,-2.15844038352081,170,"CD38;GBP4;UBE2L6;CD74;CASP4;ARID5B;PSMB2;MTHFD2;RNF213;LGALS3BP;PDE4B;TAP1;ISG20;MX1;IRF7;PLSCR1;PELI1;IRF4;NCOA3;STAT1;OAS3;RAPGEF6;NAMPT;NUP93;MVP;OAS2;SOCS3;HELZ2;IRF9;BST2;LAP3;SOD2;ZNFX1;TRAFD1;STAT2;EPSTI1;VAMP5;PSMB8;PSME1;PSME2;XAF1;HLA-DMA;ADAR;TRIM25;DDX60;SAMHD1;ISG15;TNFSF10;PML;RIGI;VAMP8;RBCK1;PSMB10;RTP4;OGFR;SAMD9L;USP18;PSMB9;GPR18;TNFAIP3;IL10RA;PARP12;SPPL2A;PSMA2;IFI27;NFKB1;GCH1;PTPN2;WARS1","CD4_cytoT","Down with age"
"KRAS SIGNALING DN",0.635609444798979,0.694735904780279,0.0221035302120679,-0.238265956992676,-0.908253872500115,50,"TENT5C;MX1;PDCD1;SGK1;C5;MFSD6;PDE6B;PDK2;ASB7;BARD1;PTPRJ;SNN;BTG2","CD4_cytoT","Not significant"
"KRAS SIGNALING UP",0.262582994217177,0.384426526606621,0.0386038458652974,-0.258922918490765,-1.10189834983043,88,"ETS1;LY96;TRIB2;TNFRSF1B;PTCD2;NIN;GYPC;LAPTM5;PSMB8;PECAM1;ENG;EVI5;KCNN4;VWA5A;RBM4;MAP3K1;GADD45G;RGS16;SDCCAG8;TNFAIP3;IL10RA","CD4_cytoT","Not significant"
"MITOTIC SPINDLE",0.0208801077682982,0.097854838984931,0.149308206900753,-0.28646981420356,-1.343969199981,157,"KIF11;EPB41;TLK1;SPTBN1;LMNB1;YWHAE;FLNB;TOP2A;RAB3GAP1;NUMA1;TIAM1;EZR;RAPGEF6;TPX2;SMC4;NIN;CAPZB;NUSAP1;BCL2L11;SEPTIN9;PLEKHG2;TSC1;PRC1;CENPE;SPTAN1;WASF2;TRIO;NET1;CENPF;TBCD;RHOF;KPTN;MAP3K11;KIF20B;MYH9;RABGAP1;CD2AP","CD4_cytoT","Not significant"
"MTORC1 SIGNALING",0.0765947888589398,0.179997753818509,0.0768410915258218,-0.254745925261998,-1.21930405976311,180,"CACYBP;HSPD1;MTHFD2;CCNF;SHMT2;GAPDH;MCM4;SLC1A4;NFYC;NAMPT;EGLN3;TXNRD1;PSPH;SLC2A3;DAPP1;ETF1;LGMN;STARD4;ENO1;PFKL;PSMA4;ELOVL5;UBE2D3;CCT6A;RIT1;EDEM1;EEF1E1;INSIG1;CYB5B;LDLR;CORO1A;PPA1;IFRD1;ATP6V1D;EIF2S2;MAP2K3;DHCR7;SRD5A1;IMMT;PSMD13;WARS1;HPRT1;MTHFD2L;TUBG1;BTG2;ABCF2;MLLT11;SEC11A;PSMC2;ERO1A","CD4_cytoT","Not significant"
"MYC TARGETS V1",0.00194159657467063,0.0130364341442171,0.45505986738723,-0.306280836929148,-1.48326010232084,197,"PPM1G;HSPD1;PSMB2;COX5A;YWHAE;KPNA2;PABPC1;GSPT1;MCM4;SNRPB2;PSMA7;VDAC1;PSMB3;AP3S1;PSMD8;SET;MRPL23;EIF4G2;SNRPG;EIF3J;ETF1;TRIM28;PRPS2;PSMA4;PCBP1;HDGF;IFRD1;LSM2;RAD23B;TFDP1;PRDX3;PABPC4;CCT4;CCT5;HNRNPD;PSMA2;EIF2S2;RACK1;SRSF3;SYNCRIP;PSMA1;HPRT1;ODC1;NPM1;UBA2;NME1;SERBP1;TXNL4A;LSM7;FAM120A;HNRNPC;AIMP2;NAP1L1;H2AZ1;SRPK1;RRP9;COPS5;RAN;U2AF1;SF3A1;PSMA6;XRCC6","CD4_cytoT","Down with age"
"MYC TARGETS V2",0.505169867060561,0.59357459379616,0.0257189758109788,-0.250374877713515,-0.972709123927819,54,"HSPD1;DUSP2;MCM4;TCOF1;MRTO4;RRP12;GRWD1;NPM1;AIMP2;DCTPP1;RRP9;PPAN;TMEM97;WDR74;FARSA;HSPE1;NIP7;EXOSC5;SRM;TBRG4;NOP16;NDUFAF4;PES1","CD4_cytoT","Not significant"
"MYOGENESIS",0.26044226044226,0.384426526606621,0.0360950011612582,0.272590082603324,1.10934382405066,76,"SVIL;SGCD;PRNP;IGFBP3;NCAM1;ADCY9;ITGB1;BHLHE40;TPM3;FKBP1B;RB1;DMPK;SORBS3;LAMA2","CD4_cytoT","Not significant"
"NOTCH SIGNALING",0.190040068689181,0.297729440946384,0.0433895242224597,0.428158425197935,1.2381420100967,17,"ARRB1;CUL1;TCF7L2;SAP30;LFNG;APH1A;FBXW11;NOTCH2","CD4_cytoT","Not significant"
